# Wl    PDE
* QUEFF 0 46
315.00 0.000000
320.07 0.097799
321.72 0.135218
324.32 0.175180
327.85 0.218957
331.46 0.250058
334.15 0.276101
338.79 0.293942
349.09 0.308998
363.15 0.323818
371.56 0.335065
378.02 0.359265
383.58 0.375954
388.21 0.389602
404.16 0.400383
419.16 0.409578
435.11 0.421290
448.28 0.422508
461.49 0.419891
474.71 0.411108
489.85 0.397452
505.01 0.382380
518.28 0.366630
530.62 0.350816
542.95 0.077398
558.12 0.000000
573.30 0.000000
589.44 0.000000
604.62 0.000000
619.79 0.000000
636.86 0.000000
655.80 0.000000
676.65 0.000000
701.25 0.000000
723.95 0.000000
745.70 0.000000
768.40 0.000000
794.84 0.000000
819.40 0.000000
842.07 0.000000
864.72 0.000000
883.60 0.000000
896.81 0.000000
950.00 0.000000
990.00 0.000000
995.00 0.000000
