# Photon detection efficiency of a Hamamatsu S10985-050C MPPC (SiPMT)
# which has four "pixels" of 3.0*3.0 mm each in a 8.2*9.0 mm 
# ceramic package. 
# Actual pixels: 0.050*0.050 mm, i.e. each logical pixel has 3600 sub-pixels.
# This file has PDE vaues scaled to 70% of the Hamamatsu data sheet,
# in better agreement with the measured PDE (without cross-talk) at
# realistic operating conditions.
#
# Wl    PDE
315.00  0.000000
320.07  0.117053
321.72  0.158915
324.32  0.200768
327.85  0.243964
331.46  0.272308
334.15  0.296606
338.79  0.310089
349.09  0.319483
363.15  0.331562
371.56  0.343677
378.02  0.367948
383.58  0.384127
388.21  0.398962
404.16  0.409672
419.16  0.420400
435.11  0.431120
448.28  0.433746
461.49  0.429622
474.71  0.421451
489.85  0.407864
505.01  0.391574
518.28  0.375293
530.62  0.357668
542.95  0.341395
558.12  0.322410
573.30  0.300713
589.44  0.277672
604.62  0.255975
619.79  0.236990
636.86  0.215284
655.80  0.194922
676.65  0.170504
701.25  0.148755
723.95  0.129727
745.70  0.113402
768.40  0.095726
794.84  0.080727
819.40  0.067089
842.07  0.054811
864.72  0.043877
883.60  0.035671
896.81  0.031556
950.00  0.012915
990.00  0.004305
995.00  0.000000
