# Atmospheric Model 20 (V.Crab.US76.50km)
#Col. #1          #2           #3            #4
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
     0.000    1.20779e-03  1.03601e+03  2.84500e-04
     1.000    1.07989e-03  9.26498e+02  2.54400e-04
     2.000    9.76755e-04  8.20624e+02  2.30000e-04
     3.000    8.88567e-04  7.26461e+02  2.09200e-04
     4.000    8.07059e-04  6.45653e+02  1.90000e-04
     5.000    7.27001e-04  5.68592e+02  1.71100e-04
     6.000    6.54667e-04  4.98782e+02  1.54000e-04
     7.000    5.84672e-04  4.30771e+02  1.37600e-04
     8.000    5.25757e-04  3.76857e+02  1.23700e-04
     9.000    4.68447e-04  3.24211e+02  1.10200e-04
    10.000    4.17814e-04  2.81683e+02  9.82900e-05
    11.000    3.70189e-04  2.42835e+02  8.71000e-05
    12.000    3.24062e-04  2.06679e+02  7.62600e-05
    13.000    2.81539e-04  1.76997e+02  6.62500e-05
    14.000    2.45405e-04  1.51975e+02  5.77400e-05
    15.000    2.10576e-04  1.28552e+02  4.95500e-05
    16.000    1.82529e-04  1.10037e+02  4.29400e-05
    17.000    1.53158e-04  9.20164e+01  3.60300e-05
    18.000    1.27974e-04  7.70363e+01  3.01000e-05
    19.000    1.11254e-04  6.74609e+01  2.61800e-05
    20.000    9.16548e-05  5.62497e+01  2.15600e-05
    21.000    7.76411e-05  4.80597e+01  1.82700e-05
    22.000    6.55182e-05  4.08637e+01  1.54200e-05
    23.000    5.48258e-05  3.45009e+01  1.29000e-05
    24.000    4.65345e-05  2.95021e+01  1.09500e-05
    25.000    3.96765e-05  2.53059e+01  9.33700e-06
    30.000    1.84077e-05  1.22389e+01  4.33100e-06
    35.000    8.46114e-06  5.87506e+00  1.99100e-06
    40.000    3.98984e-06  2.93548e+00  9.39400e-07
    45.000    1.96602e-06  1.52449e+00  4.62600e-07
    50.000    1.02735e-06  8.15924e-01  2.41700e-07
    55.000    5.67706e-07  4.34546e-01  1.33600e-07
    60.000    3.10290e-07  2.24941e-01  7.30000e-08
    70.000    8.24923e-08  5.31680e-02  1.94100e-08
    80.000    1.92955e-08  1.12471e-02  4.54000e-09
   85.000     0.82291E-08  0.46676E-02  0.18985E-08
   90.000     0.34321E-08  0.19250E-02  0.79163E-09
   95.000     0.14063E-08  0.78968E-03  0.32437E-09
  100.000     0.57185E-09  0.32602E-03  0.13189E-09
  105.000     0.24206E-09  0.13421E-03  0.55841E-10
  110.000     0.10312E-09  0.52792E-04  0.23788E-10
  115.000     0.46595E-10  0.17216E-04  0.10748E-10
  120.000     0.24596E-10  0.00000E+00  0.56734E-11
