# Atmospheric Model 9 (antarctic winter, south pole plus extension to sea level)                        
#Col. #1          #2           #3            #4 
# Alt [km]    rho [g/cm^3] thick [g/cm^2]    n-1
     0.000    1.57292E-02  1.02358E+03  3.63138E-04
     1.000    1.19710E-02  8.93634E+02  2.76362E-04
     2.000    1.07022E-02  7.80380E+02  2.47059E-04
     3.000    9.54571E-03  6.79234E+02  2.20352E-04
     4.000    8.49238E-03  5.89133E+02  1.96031E-04
     5.000    7.53750E-03  5.09068E+02  1.73986E-04
     6.000    6.67458E-03  4.38085E+02  1.54067E-04
     7.000    5.89233E-03  3.75315E+02  1.36010E-04
     8.000    5.17446E-03  3.20031E+02  1.19439E-04
     9.000    4.50712E-03  2.71666E+02  1.04035E-04
    10.000    3.88862E-03  2.29734E+02  8.97589E-05
    11.000    3.32764E-03  1.93707E+02  7.68100E-05
    12.000    2.83195E-03  1.62968E+02  6.53682E-05
    13.000    2.40231E-03  1.36852E+02  5.54510E-05
    14.000    2.03379E-03  1.14721E+02  4.69449E-05
    15.000    1.71904E-03  9.60003E+01  3.96796E-05
    16.000    1.45042E-03  8.01898E+01  3.34793E-05
    17.000    1.22104E-03  6.68637E+01  2.81846E-05
    18.000    1.02507E-03  5.56598E+01  2.36611E-05
    19.000    8.57730E-04  4.62687E+01  1.97985E-05
    20.000    7.15169E-04  3.84242E+01  1.65078E-05
    21.000    5.94231E-04  3.18947E+01  1.37163E-05
    22.000    4.92234E-04  2.64776E+01  1.13620E-05
    23.000    4.06784E-04  2.19958E+01  9.38954E-06
    24.000    3.35729E-04  1.82949E+01  7.74944E-06
    25.000    2.76866E-04  1.52411E+01  6.39074E-06
    27.000    1.88578E-04  1.06440E+01  4.35284E-06
    30.000    1.07302E-04  6.32606E+00  2.47679E-06
    32.000    7.45316E-05  4.52890E+00  1.72037E-06
    35.000    4.39662E-05  2.79469E+00  1.01485E-06
    37.000    3.13127E-05  2.04959E+00  7.22773E-07
    40.000    1.91662E-05  1.30852E+00  4.42402E-07
    42.000    1.39829E-05  9.79983E-01  3.22759E-07
    45.000    8.86877E-06  6.43571E-01  2.04712E-07
    47.000    6.62266E-06  4.89852E-01  1.52867E-07
    50.000    4.34253E-06  3.28007E-01  1.00236E-07
    55.000    2.22388E-06  1.70164E-01  5.13326E-08
    60.000    1.16611E-06  8.83188E-02  2.69167E-08
    65.000    6.13123E-07  4.52866E-02  1.41523E-08
    70.000    3.18655E-07  2.27569E-02  7.35532E-09
    75.000    1.62204E-07  1.11480E-02  3.74405E-09
    80.000    8.02907E-08  5.30828E-03  1.85330E-09
    85.000    3.84279E-08  2.45911E-03  8.87009E-10
    90.000    1.77522E-08  1.11661E-03  4.09763E-10
    95.000    7.96907E-09  5.04727E-04  1.83945E-10
   100.000    3.53789E-09  2.31867E-04  8.16630E-11
   105.000    1.59192E-09  1.10278E-04  3.67452E-11
   110.000    7.42936E-10  5.47815E-05  1.71487E-11
   115.000    3.65046E-10  2.83119E-05  8.42614E-12
   120.000    1.89932E-10  1.49737E-05  4.38408E-12
